dataset,seed,corruption,severity,alpha,method,backbone,epochs,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
GunPoint,1,drift,0.2,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9866666666666667,1.8666666666666667,0.13333333333333333,0.9,0.0,0.49333333333333335,0.21456164836883543
GunPoint,1,drift,0.2,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9733333333333334,1.84,0.16,0.8333333333333334,0.0,0.49333333333333335,0.21456164836883543
GunPoint,1,drift,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9733333333333334,1.84,0.16,0.8333333333333334,0.0,0.49333333333333335,0.21456164836883543
GunPoint,1,drift,0.2,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9733333333333334,1.84,0.16,0.8333333333333334,0.0,0.49333333333333335,0.21456164836883543
GunPoint,1,drift,0.4,0.05,clean_split_cp,fcn,20,32,18,180,150,2,1.0,1.9933333333333334,0.006666666666666667,1.0,0.0,0.49333333333333335,0.15047707080841063
GunPoint,1,drift,0.4,0.05,aug_split_cp,fcn,20,32,18,180,150,2,1.0,1.9933333333333334,0.006666666666666667,1.0,0.0,0.49333333333333335,0.15047707080841063
GunPoint,1,drift,0.4,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,1.0,1.9933333333333334,0.006666666666666667,1.0,0.0,0.49333333333333335,0.15047707080841063
GunPoint,1,drift,0.4,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,1.0,1.9933333333333334,0.006666666666666667,1.0,0.0,0.49333333333333335,0.15047707080841063
Coffee,0,gap,0.05,0.05,clean_split_cp,fcn,20,18,10,100,28,2,0.8571428571428571,1.5,0.5,0.7142857142857143,0.0,0.5357142857142857,0.23701755489621845
Coffee,0,gap,0.05,0.05,aug_split_cp,fcn,20,18,10,100,28,2,0.9285714285714286,1.7857142857142858,0.21428571428571427,0.6666666666666666,0.0,0.5357142857142857,0.23701755489621845
Coffee,0,gap,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,18,10,100,28,2,0.9285714285714286,1.7857142857142858,0.21428571428571427,0.6666666666666666,0.0,0.5357142857142857,0.23701755489621845
Coffee,0,gap,0.05,0.05,fast_cp_mixed,fcn,20,18,10,100,28,2,0.9285714285714286,1.7142857142857142,0.2857142857142857,0.75,0.0,0.5357142857142857,0.23701755489621845
Coffee,0,gap,0.1,0.05,clean_split_cp,fcn,20,18,10,100,28,2,0.9285714285714286,1.6785714285714286,0.32142857142857145,0.7777777777777778,0.0,0.5357142857142857,0.23467163528714863
Coffee,0,gap,0.1,0.05,aug_split_cp,fcn,20,18,10,100,28,2,0.9642857142857143,1.8928571428571428,0.10714285714285714,0.6666666666666666,0.0,0.5357142857142857,0.23467163528714863
Coffee,0,gap,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,18,10,100,28,2,0.9642857142857143,1.8928571428571428,0.10714285714285714,0.6666666666666666,0.0,0.5357142857142857,0.23467163528714863
